timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,before_smote,after_smote,time_sec
2026-06-08 14:19:09,random_search,70/15/15,RandomForest,4,2,0.9188,0.9198,0.9188,0.9189,0.9174,0.9201,0.9183,0.9329,0.9073,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",57.42
2026-06-08 14:20:06,random_search,70/15/15,RandomForest,4,3,0.9217,0.9231,0.9217,0.9218,0.9203,0.9234,0.9212,0.9416,0.9053,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",57.29
2026-06-08 14:22:45,random_search,70/15/15,RandomForest,5,1,0.9148,0.9164,0.9148,0.915,0.9135,0.9166,0.9144,0.9353,0.8979,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",71.17
2026-06-08 14:23:45,random_search,70/15/15,RandomForest,5,2,0.9112,0.9125,0.9112,0.9113,0.9098,0.9127,0.9107,0.928,0.8973,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",60.3
2026-06-08 14:24:50,random_search,70/15/15,RandomForest,5,3,0.9167,0.918,0.9167,0.9169,0.9153,0.9182,0.9163,0.9332,0.9032,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",64.94
2026-06-08 14:27:13,random_search,70/15/15,RandomForest,6,1,0.9474,0.9478,0.9474,0.9475,0.9462,0.9481,0.947,0.9557,0.9406,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",55.45
2026-06-08 14:28:17,random_search,70/15/15,RandomForest,6,2,0.9452,0.9454,0.9452,0.9453,0.9442,0.9454,0.9448,0.9474,0.9434,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",64.35
2026-06-08 14:29:17,random_search,70/15/15,RandomForest,6,3,0.9479,0.9483,0.9479,0.948,0.9468,0.9486,0.9476,0.9559,0.9414,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",59.99
2026-06-08 14:31:41,random_search,70/15/15,RandomForest,7,1,0.9189,0.9208,0.9189,0.9191,0.9177,0.921,0.9185,0.9418,0.9001,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",60.49
2026-06-08 14:32:55,random_search,70/15/15,RandomForest,7,2,0.9239,0.9247,0.9239,0.924,0.9225,0.925,0.9234,0.9356,0.9144,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",73.92
