timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,time_sec
2026-06-12 07:21:37,random_search,70/15/15,CNN,6,3,0.9726,0.9726,0.9726,0.9726,0.9725,0.9721,0.9723,0.9672,0.9771,82.32
2026-06-12 07:21:58,random_search,70/15/15,CNN,6,3,0.972,0.972,0.972,0.972,0.9717,0.9717,0.9717,0.9688,0.9746,92.62
2026-06-12 07:22:48,random_search,70/15/15,CNN,6,2,0.9716,0.9716,0.9716,0.9716,0.9712,0.9715,0.9714,0.9701,0.9729,92.69
2026-06-12 07:24:25,random_search,70/15/15,CNN,6,3,0.9726,0.9726,0.9726,0.9726,0.9725,0.9721,0.9723,0.9672,0.9771,96.82
2026-06-12 07:24:42,random_search,70/15/15,CNN,7,1,0.9722,0.9722,0.9722,0.9722,0.9715,0.9724,0.9719,0.9749,0.9699,75.55
2026-06-12 07:24:51,random_search,70/15/15,CNN,7,1,0.9733,0.9734,0.9733,0.9733,0.9725,0.9736,0.973,0.9773,0.9699,68.34
2026-06-12 07:26:00,random_search,70/15/15,CNN,7,2,0.9743,0.9743,0.9743,0.9743,0.9742,0.9739,0.9741,0.9694,0.9783,77.93
2026-06-12 07:26:02,random_search,70/15/15,CNN,7,2,0.9745,0.9745,0.9745,0.9745,0.9743,0.9742,0.9742,0.9712,0.9771,71.01
2026-06-12 07:27:14,random_search,70/15/15,CNN,7,3,0.9749,0.975,0.9749,0.9749,0.9755,0.9739,0.9746,0.9635,0.9843,72.02
2026-06-12 07:27:15,random_search,70/15/15,CNN,7,3,0.9764,0.9764,0.9764,0.9764,0.9769,0.9755,0.9761,0.9661,0.9848,74.85
2026-06-12 07:28:26,random_search,70/15/15,CNN,7,1,0.9733,0.9734,0.9733,0.9733,0.9725,0.9736,0.973,0.9773,0.9699,91.73
